Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Yasir Abdullah LB - JAX,Yasir Abdullah,LB,JAX,Bye,FA,,,,,,,,,,,,,,,,,0.0
Matthew Adams LB - CLE,Matthew Adams,LB,CLE,@MIA,FA,,,,,,,,,,,,,,,,,0.0
Azeez Al-Shaair LB - TEN,Azeez,Al,Shaair,DEN,Washington Fantasy Team,1.0,2.0,,,,,,,,,,,,,,,0.0
Christopher Allen LB Q,Christopher Allen LB,Q,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Josh Allen LB - JAX,Josh Allen,LB,JAX,@KC,GLADIATORS of NORSCHT,3.0,3.0,,,,,,,,,,,,,1.0,,0.0
Troy Andersen LB - ATL IR,Troy Andersen,LB,ATL,@CAR,FA,,1.0,,,,,,,,,,,,,,,0.0
Alex Anzalone LB - DET,Alex Anzalone,LB,DET,@CHI,Slay,6.0,4.0,,,,1.0,,,,,,,,1.0,,,0.0
Brian Asamoah LB - MIN,Brian Asamoah,LB,MIN,@BUF,FA,,,,,,,,,,,,,,,,,0.0
Joe Bachie LB - CIN,Joe Bachie,LB,CIN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Markus Bailey LB - CIN,Markus Bailey,LB,CIN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jerome Baker LB - MIA,Jerome Baker,LB,MIA,CLE,Bad Wildcats Hunschat,4.0,3.0,,1.0,,,,,,,,,,1.0,,,0.0
Derrick Barnes LB - DET Q,Derrick Barnes,LB,DET,@CHI,W (Oct 4),1.0,1.0,,,,,,,,,,,,,,,0.0
Krys Barnes LB - ARI Q,Krys Barnes,LB,ARI,@LA,FA,,,,,,,,,,,,,,,,,0.0
Zaire Barnes LB - NYJ,Zaire Barnes,LB,NYJ,Bye,FA,,,,,,,,,,,,,,,,,0.0
Shaquil Barrett LB - TB,Shaquil Barrett,LB,TB,SEA,St Quintin Heidschnucken,,,,,,,,,,,,,,,,,0.0
Cody Barton LB - WAS,Cody Barton,LB,WAS,@PHI,Wbn Beasts,7.0,2.0,,,1.0,,,,,,,,,1.0,,1.0,0.0
Tarell Basham LB,Tarell Basham,LB,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Zack Baun LB - NO,Zack Baun,LB,NO,@PIT,FA,2.0,1.0,,,,,,,,,,,,,,,0.0
Robert Beal Jr. LB - SF IR,Robert Beal Jr.,LB,SF,Bye,FA,,,,,,,,,,,,,,,,,0.0
Darrian Beavers LB - NYG,Darrian Beavers,LB,NYG,HOU,FA,,,,,,,,,,,,,,,,,0.0
Ja'Whaun Bentley LB - NE,Ja'Whaun Bentley,LB,NE,Bye,Boppard Raiders,,,,,,,,,,,,,,,,,0.0
Terrel Bernard LB - BUF,Terrel Bernard,LB,BUF,MIN,FlyRamsFly,1.0,,,,,,,,,,,,,,,,0.0
Rashod Berry LB SUS,Rashod Berry LB,SUS,,@LV,FA,,,,,,,,,,,,,,,,,0.0
Chris Board LB - NE,Chris Board,LB,NE,Bye,FA,1.0,1.0,,,,,,,,,,,,,,,0.0
Curtis Bolton LB - LV O View News,Curtis Bolton,LB,LV,Bye,FA,,,,,,,,,,,,,,,,,0.0
Nik Bonitto LB - DEN,Nik Bonitto,LB,DEN,@TEN,FA,1.0,1.0,,1.0,,,,,,,,,,,,,0.0
Joey Bosa LB - LAC Q View News,Joey Bosa,LB,LAC,@SF,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,,0.0
Tyus Bowser LB - BAL NFI-R,Tyus Bowser,LB,BAL,Bye,FA,,,,,,,,,,,,,,,,,0.0
Shaun Bradley LB - PHI IR,Shaun Bradley,LB,PHI,WAS,FA,,,,,,,,,,,,,,,,,0.0
